entry_id,body,ne_class,latitude,longitude,区域番号,関連ID,区域1,区域2,区域色,図符等,地名補足,manifest,canvas,xywh,target,iiif,thumbnail
dm0001,北海,域外地名,,,2,dm0001,北海,,青,域外地名,,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/manifest,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1,"27581,810,476,243","https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1#xywh=27581,810,476,243",https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif,"https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif/27581,810,476,243/200,/0/default.jpg"
dm0002,古粛慎之地隨唐曰黒水靺鞨唐初臣服置燕州黒水府其後黒水復擅其地即金鼻祖之部落也初号女真後避遼興宗諱改曰女直阿骨打初大建国曰金滅遼設都於渤海上京至海陸改爲會寧府追入本朝悉境歸附永楽中設奴児于都司統衛所一百有四授以都督指揮官所治地方上於東北地與契丹相接以時朝貢,地名古名及説明,,,3,dm0003,女直,,黄,,,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/manifest,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1,"28205,1206,314,1267","https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1#xywh=28205,1206,314,1267",https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif,"https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif/28205,1206,314,1267/200,/0/default.jpg"
dm0003,女直,域外地名,,,3,dm0003,女直,,黄,域外地名,,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/manifest,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1,"27879,1668,229,416","https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1#xywh=27879,1668,229,416",https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif,"https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif/27879,1668,229,416/200,/0/default.jpg"
dm0004,會寧,域外地名,42.43242,129.74148,3,dm0004,女直,,黄,域外地名,,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/manifest,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1,"27093,1265,171,307","https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1#xywh=27093,1265,171,307",https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif,"https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif/27093,1265,171,307/200,/0/default.jpg"
dm0005,混洞江,河川,,,3,dm0005,女直,,黄,,混同江,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/manifest,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1,"26402,1285,156,45","https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1#xywh=26402,1285,156,45",https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif,"https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif/26402,1285,156,45/200,/0/default.jpg"
dm0006,巓有潭周八十里淵深莫測南流為鴨綠江北流為混洞江又名黒龍江,地名古名及説明,,,3,dm0005,女直,,黄,,巓有潭周八十里淵深莫測南流為鴨綠江北流為混同江又名黒龍江,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/manifest,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1,"26402,1334,266,203","https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1#xywh=26402,1334,266,203",https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif,"https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif/26402,1334,266,203/200,/0/default.jpg"
dm0007,東北千餘里橫直千里,地名古名及説明,,,3,dm0008,女直,,黄,,,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/manifest,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1,"26372,1578,368,175","https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1#xywh=26372,1578,368,175",https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif,"https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif/26372,1578,368,175/200,/0/default.jpg"
dm0008,長白山,山,41.99301,128.07748,3,dm0008,女直,,黄,,,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/manifest,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1,"26413,1639,273,137","https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1#xywh=26413,1639,273,137",https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif,"https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif/26413,1639,273,137/200,/0/default.jpg"
dm0009,契丹世雄朔漠号東胡其國有鮮𤰞山松漢池唐太宗分其地為十州以部長為都督後附於突厥國有八部部有河汗之号遼祖起此,地名古名及説明,,,3,dm0009,女直,,黄,,,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/manifest,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1,"23559,480,725,267","https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1#xywh=23559,480,725,267",https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif,"https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif/23559,480,725,267/200,/0/default.jpg"
dm0010,合闌,域外地名,39.95284,127.61195,3,dm0010,女直,,黄,域外地名,,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/manifest,https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1,"26089,973,157,276","https://app.toyobunko-lab.jp/iiif/2/09fd29d5-8497-4def-a64d-ca104284f90d/canvas/p1#xywh=26089,973,157,276",https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif,"https://img.toyobunko-lab.jp/iiif/inter_asia_research_network/daiminchiri/001.tif/26089,973,157,276/200,/0/default.jpg"
